seller_type,area_m2,room_layout,city,district,neighborhood,listing_date_raw,price_try,rooms,living_rooms,total_rooms,listing_date,listing_month,listing_day,price_per_m2,is_model_candidate_domain,is_model_candidate_pct
Emlak-ofisinden,212.0,3+1,Usak,Merkez,Yenisanayi,17 Mayıs  2025,5250000,3.0,1.0,4.0,2025-05-17,5,17,24764.150943396227,True,True
Emlak-ofisinden,140.0,3+1,Usak,Merkez,Yenisanayi,15 Mayıs  2025,1400000,3.0,1.0,4.0,2025-05-15,5,15,10000.0,True,True
Emlak-ofisinden,125.0,2+1,Usak,Merkez,Dokumacılar,15 Mayıs  2025,2200000,2.0,1.0,3.0,2025-05-15,5,15,17600.0,True,True
Emlak-ofisinden,155.0,3+1,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,2750000,3.0,1.0,4.0,2025-05-15,5,15,17741.935483870966,True,True
Emlak-ofisinden,65.0,1+1,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,2500000,1.0,1.0,2.0,2025-05-15,5,15,38461.53846153846,True,True
Emlak-ofisinden,60.0,2+0,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,1280000,2.0,0.0,2.0,2025-05-15,5,15,21333.333333333332,True,True
Emlak-ofisinden,95.0,2+1,Usak,Merkez,Yenisanayi,15 Mayıs  2025,1975000,2.0,1.0,3.0,2025-05-15,5,15,20789.473684210527,True,True
Emlak-ofisinden,160.0,3+1,Usak,Merkez,Köyler,15 Mayıs  2025,3800000,3.0,1.0,4.0,2025-05-15,5,15,23750.0,True,True
Emlak-ofisinden,110.0,2+1,Usak,Merkez,Dokumacılar,15 Mayıs  2025,2775000,2.0,1.0,3.0,2025-05-15,5,15,25227.272727272728,True,True
Emlak-ofisinden,165.0,3+1,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,3230000,3.0,1.0,4.0,2025-05-15,5,15,19575.757575757576,True,True
Emlak-ofisinden,170.0,3+1,Usak,Merkez,Bilinmiyor,16 Mayıs  2025,3080000,3.0,1.0,4.0,2025-05-16,5,16,18117.647058823528,True,True
Emlak-ofisinden,115.0,4+1,Usak,Merkez,Yenisanayi,15 Mayıs  2025,4250000,4.0,1.0,5.0,2025-05-15,5,15,36956.52173913043,True,True
Emlak-ofisinden,115.0,2+1,Usak,Merkez,Dokumacılar,15 Mayıs  2025,2700000,2.0,1.0,3.0,2025-05-15,5,15,23478.260869565216,True,True
Emlak-ofisinden,100.0,2+1,Usak,Merkez,Yenisanayi,14 Mayıs  2025,3050000,2.0,1.0,3.0,2025-05-14,5,14,30500.0,True,True
Emlak-ofisinden,115.0,2+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,2850000,2.0,1.0,3.0,2025-05-14,5,14,24782.608695652172,True,True
Emlak-ofisinden,75.0,2+1,Usak,Merkez,Dokumacılar,14 Mayıs  2025,1825000,2.0,1.0,3.0,2025-05-14,5,14,24333.333333333332,True,True
Emlak-ofisinden,200.0,4+1,Usak,Merkez,Bilinmiyor,15 Mayıs  2025,5250000,4.0,1.0,5.0,2025-05-15,5,15,26250.0,True,True
Emlak-ofisinden,115.0,2+1,Usak,Merkez,Dokumacılar,14 Mayıs  2025,2625000,2.0,1.0,3.0,2025-05-14,5,14,22826.08695652174,True,True
Emlak-ofisinden,135.0,3+1,Usak,Merkez,Bilinmiyor,14 Mayıs  2025,2950000,3.0,1.0,4.0,2025-05-14,5,14,21851.85185185185,True,True
Emlak-ofisinden,150.0,3+1,Usak,Merkez,Dokumacılar,15 Mayıs  2025,2875000,3.0,1.0,4.0,2025-05-15,5,15,19166.666666666668,True,True
